filename;stationsname;geopos;gemeinde;plz;anzahl_bikes;join_key
2023-05-11T18:06:00+00:00;Bethlehem Kirche;46.94933, 7.39398;0351;3027;0;2023-05-11T20:06:00+02:00-Bethlehem Kirche
2023-04-30T20:26:00+00:00;Brühlplatz;46.9262, 7.41723;0355;3098;0;2023-04-30T22:26:00+02:00-Brühlplatz
2023-05-11T18:06:00+00:00;SBB Hilfikerstrasse;46.96845, 7.46241;0351;3014;0;2023-05-11T20:06:00+02:00-SBB Hilfikerstrasse
2023-04-30T20:26:00+00:00;Bethlehemstrasse Säge;46.94707, 7.39576;0351;3027;2;2023-04-30T22:26:00+02:00-Bethlehemstrasse Säge
2023-05-11T18:06:00+00:00;Bahnhof Bümpliz Süd;46.9379, 7.39547;0351;3018;0;2023-05-11T20:06:00+02:00-Bahnhof Bümpliz Süd
2023-04-30T20:26:00+00:00;Wabern Bahnhof;46.92886, 7.4464;0355;3084;0;2023-04-30T22:26:00+02:00-Wabern Bahnhof
2023-05-11T18:06:00+00:00;Spitalacker Schulhaus;46.95583, 7.45299;0351;3013;10;2023-05-11T20:06:00+02:00-Spitalacker Schulhaus
2023-04-30T20:26:00+00:00;Wankdorf Sporthalle;46.96448, 7.46694;0351;3014;0;2023-04-30T22:26:00+02:00-Wankdorf Sporthalle
2023-05-11T18:06:00+00:00;Beaumontweg;46.93909, 7.42864;0351;3007;0;2023-05-11T20:06:00+02:00-Beaumontweg
2023-04-30T20:26:00+00:00;Kursaal;46.95253, 7.44983;0351;3013;0;2023-04-30T22:26:00+02:00-Kursaal
2023-05-11T18:06:00+00:00;Wabern Zentrum;46.92899, 7.45028;0355;3084;0;2023-05-11T20:06:00+02:00-Wabern Zentrum
2023-04-30T20:26:00+00:00;Köniz Zentrum;46.92298, 7.41411;0355;3098;0;2023-04-30T22:26:00+02:00-Köniz Zentrum
2023-05-11T18:06:00+00:00;Kleeplatz / Bollwerk;46.9519, 7.44204;0351;3011;16;2023-05-11T20:06:00+02:00-Kleeplatz / Bollwerk
2023-04-30T20:26:00+00:00;Kleefeld;46.93721, 7.38722;0351;3018;1;2023-04-30T22:26:00+02:00-Kleefeld
2023-05-11T18:16:00+00:00;Salem-Spital;46.9527, 7.45458;0351;3013;6;2023-05-11T20:16:00+02:00-Salem-Spital
2023-04-30T20:26:00+00:00;Holenacker Station;46.94862, 7.38275;0351;3027;2;2023-04-30T22:26:00+02:00-Holenacker Station
