                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4507,                 6.2928,                 1.9589,                 0.0271,                0.15957,                0.06238,                0.02719,                 1.9543,                 5.9925,                 1.5427,             0.00014814,             0.00014814,             0.00014814
                      2,                 1.7882,                 3.8461,                 1.4089,                0.76495,                0.13563,                0.23254,                0.12151,                 1.5985,                 4.2406,                 1.2876,             0.00028497,             0.00028497,             0.00028497
